pais,Año,"Patentes concedidas por residentes, total (direct and PCT national phase entries)",Patentes concedidas por tecnologia ambiental,Patentes por energias renovables,Articulos en publicaciones cientificas y tecnicas,Investigadores dedicados a investigacion y desarrollo (por cada millon de personas),Gasto en investigacion y desarrollo (% del PIB),Credito interno al sector privado (% del PIB),Exportaciones de productos de alta tecnología (% de las exportaciones de productos manufacturados),"Inversion extranjera directa, entrada neta de capital (% del PIB)","Cargos por el uso de propiedad intelectual, pagos (balanza de pagos, US$ a precios actuales)",PIB (US$ a precios actuales),Share of Low-carbon electricity - % total electricity,Total Electricity generation - TWh
Alemania,2007,24910,748,2103,90199.02,3573.67338,2.46048,95.49834397,15.46239259,1.459424702,7499376291,3.48406E+12,36.439552,631.1
Alemania,2008,26137,762,2532,93343.56,3726.67445,2.61513,95.38699762,15.0762416,0.812719205,8632835619,3.80879E+12,38.40959,632.29
Alemania,2009,21668,670,3222,96399.98,3916.78276,2.74266,96.82440368,16.79429103,1.629458688,7008622136,3.4798E+12,39.290085,587.96
Alemania,2010,22183,800,3535,98512.11,4056.42386,2.73024,86.7438438,16.88968553,2.480786424,7115326142,3.46815E+12,39.405006,624.21
Alemania,2011,21789,793,3981,101238.25,4191.51741,2.80555,83.22212962,16.34171863,2.550059495,7405166332,3.82483E+12,38.413223,605
Alemania,2012,21485,952,4171,105639.02,4355.567,2.88166,82.15899271,17.22728619,1.818926354,6396891368,3.5979E+12,39.182976,619.81
Alemania,2013,23209,1022,4195,106118.13,4380.38742,2.83599,80.66226528,17.2979906,1.764657871,8652108654,3.80809E+12,39.581383,629.69
Alemania,2014,23714,1024,3724,108118.23,4336.01915,2.87784,77.77379513,17.20971497,0.43765992,10729008199,3.9658E+12,41.868282,618.75
Alemania,2015,24530,1114,3609,108479.28,4755.29531,2.93379,76.61575357,17.82437528,1.823214415,10117945574,3.42357E+12,43.79586,639.17
Alemania,2016,29522,1218,2697,110725.54,4839.84645,2.94039,75.96728523,18.08270142,1.64319556,11295106926,3.53778E+12,42.67365,641.52
Alemania,2017,29353,1159,2337,111426.61,5058.39528,3.0471,76.10475187,15.85057879,2.890880529,14364977912,3.76309E+12,45.30925,644.46
Alemania,2018,31583,1059,2202,111308.13,5209.2143,3.11011,76.68359986,15.74743356,4.004210264,16367799982,4.05201E+12,47.278103,632.28
Alemania,2019,32959,1107,2274,113491.66,5398.63462,3.16701,78.01863147,16.38693106,1.906986881,16959534532,3.95721E+12,52.698757,600.09
Alemania,2020,31139,1044,1968,112179.45,5390.05249,3.13136,83.83610369,15.50319599,4.486665711,17265370702,3.94014E+12,55.733566,566.75
Alemania,2021,29347,1126,1799,119603.62,5520.57631,3.12882,82.83609777,15.38510482,2.93470786,21774153930,4.3483E+12,52.11029,578.83
